Ticker,Sector,Shares Float,Gap %,Pre-market High,Pre-market Volume,Volume,Last,Open,High,Low,Change %,Change,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Exponential Moving Average (20),Exponential Moving Average (200),Exponential Moving Average (30),Exponential Moving Average (5),Exponential Moving Average (50),1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,52 Week High,52 Week Low,6-Month High,6-Month Low,6-Month Performance,All Time High,All Time Low,Average Day Range (14),Average Directional Index (14),Average True Range (14),Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Basic EPS (FY),Change 15m,"Change 15m, %",Change 1h,"Change 1h, %",Change 1m,"Change 1m, %",Change 4h,"Change 4h, %",Change 5m,"Change 5m, %",Change from Open,Change from Open %,Country,Enterprise Value (MRQ),Enterprise Value/EBITDA (TTM),Exchange,Exponential Moving Average (10),Exponential Moving Average (100),Industry,Momentum (10),Monthly Performance,Number of Shareholders,Pattern,Post-market Change,Post-market Change %,Post-market Close,Post-market High,Post-market Low,Post-market Open,Post-market Volume,Pre-market Change,Pre-market Change %,Pre-market Change from Open,Pre-market Change from Open %,Pre-market Close,Pre-market Gap %,Pre-market Low,Pre-market Open,Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Rate Of Change (9),Recent Earnings Date,Relative Volume,Revenue per Employee (TTM),Simple Moving Average (10),Simple Moving Average (100),Simple Moving Average (20),Simple Moving Average (200),Simple Moving Average (30),Simple Moving Average (5),Simple Moving Average (50),Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),Volume*Price,Weekly Performance,YTD Performance,Yearly Performance,Upcoming Earnings Date
AIXN,Distribution Services,17161915.6761,396.15384615,,,100,6.45,6.45,6.45,6.45,396.15384615,5.15,322499355,136.05442177,0.0441,58,1.55524505,1.15815067,1.36088843,2.97207605,1.21760832,6.45,0.75,0.34256655,6.45,0.63,392.36641221,10,0.011,6.45,0.6,115,40,0.011,0.02857143,25.63312878,0.43565718,5988.3,2967.1,2195.38333333,1797.85555556,0.0254,4.75,279.41176471,4.75,279.41176471,4.75,279.41176471,4.75,279.41176471,4.75,279.41176471,0,0,China,142390000,710.281,OTC,2.09639068,1.19906367,Medical Distributors,5.65,551.51515152,716,,,,,,,,,,,,,,,,,100.73875084,22.3259,,95.8389232,706.25,2020-11-16,0.01655739,58934.62068966,1.62375,1.064063,1.242525,1.5580265,1.15471667,2.314,1.087422,79.84496124,6.95705588,0,6.45,0.93077305,645,437.5,222.5,1597.36842105,
VXEL,Consumer Services,19134784.5588,365.625,,,3000,0.0905,0.149,0.149,0.0905,182.8125,0.0585,4894954.95,,-0.0068,26,0.10242734,0.79587705,0.12145668,0.0842947,0.17470679,0.477,0.018,-9.216647,0.55,0.011,-74.14285714,2.8,0.011,1.25,0.011,-87.93333333,75,0.011,0.00475,8.05911648,0.07260884,1155.1,2865.06666667,3652.66666667,3938.08888889,-0.0088,-0.0585,-39.26174497,-0.0585,-39.26174497,0,0,-0.0585,-39.26174497,-0.0585,-39.26174497,-0.0585,-39.26174497,Malaysia,7928320,,OTC,0.08783873,0.34782139,Other Consumer Services,-0.0495,248.07692308,1861,Marubozu Black,,,,,,,,,,,,,,,,,,,21.63732493,192.8802589,2020-08-19,3.12467451,3211.84615385,0.0712,0.341312,0.11586,0.6783737,0.11730667,0.08808,0.135924,129.28176796,38.04434335,14.08759709,0.11,0.11872447,271.5,192.8802589,13.125,-94.97222222,
ELVG,Commercial Services,,150,,,666,0.75,0.75,0.75,0.75,150,0.45,,,,,,,,0.53794809,,3,0.22,0.01333516,3,0.22,,3,0.22,3,0.22,,3,0.22,0.03713571,,0.5509468,4027.8,,,,,0.45,150,0.45,150,0.45,150,0.45,150,0.45,150,0,0,United States,,,OTC,0.63327812,,Miscellaneous Commercial Services,-1.35,,,,,,,,,,,,,,,,,,,,,,,172.72727273,,0.1660351,,0.58352,,,,,0.42204,,60,,5.37529479,0.75,,499.5,-16.66666667,-75,,
WORX,Technology Services,6953821.39836,94.4,2.67,17581190,84468360,2.22,2.43,2.63,2.06,77.6,0.97,21893040.6,,-1.3232,4,1.25609804,2.38316975,1.27376672,1.51543829,1.39993034,2.63,1,0.88896215,2.63,1,7.24637681,14.88,1,14.88,1,-7.88381743,103.992358,1,0.11924286,24.62290848,0.19247372,9138360.9,3315625.2,2552379.81666667,4959411.25555556,-1.806,0.02,0.90909091,0.01,0.45248869,0,0,0,0,0.0155,0.70310728,-0.21,-8.64197531,United States,14673500,,NASDAQ,1.33510869,1.75699693,Packaged Software,1.11,86.55462185,109,,0,0,2.22,2.25,2.18,2.2,40964,1.18,94.4,0.88,56.77419355,2.43,24,1.55,1.55,1.33397364,3.03796,,2.40756284,98.21428571,2020-11-16,119.1487645,1387029.75,1.233,2.021679,1.153345,2.358345,1.21056333,1.364,1.296358,66.99029126,8.70959123,13.94980684,2.30333333,2.10365156,187519759.2,101.81818182,-22.64808362,-8.26446281,
WOWMF,Consumer Services,18613740.0834,74.87508922,,,7100,0.3843,0.49,0.49,0.3843,37.15203426,0.1041,13299107.7051,,-0.42807412,,0.28397804,,0.28074116,0.31105282,0.29548409,0.49,0.2521,1.1444002,0.49,0.1358,0.54945055,0.94,0.1358,0.94,0.1358,,0.94,0.1358,0.00917857,9.80964721,0.0317472,8943.5,10392.43333333,10551.93333333,11106.65555556,-0.47858107,-0.0907,-19.09473684,-0.0907,-19.09473684,-0.0907,-19.09473684,0.1041,37.15203426,-0.0907,-19.09473684,-0.1057,-21.57142857,Canada,35145274.19052967,4.23589,OTC,0.29492534,0.39769163,Movies/Entertainment,0.1243,46.95984704,,Marubozu Black,,,,,,,,,,,,,,,,1.48524097,4.2343,,0.15960248,36.22828784,2020-11-26,0.73169475,,0.28649,0.34810426,0.2845354,,0.269604,0.29426,0.2569708,54.59276607,2.16113983,5.50091075,0.41953333,0.28427246,2728.53,32.79198341,-5.71638862,,2021-05-04
AXREF,Non-Energy Minerals,147665566.943,68.03278689,,,263715,0.0536,0.0615,0.0731,0.0392,46.44808743,0.017,9573120.8,,-0.00621374,,0.0433092,0.0477991,0.04416142,0.04385908,0.04447532,0.0731,0.0289,0.99736995,0.0731,0.0289,80.47138047,0.0788,0.017033,0.0731,0.017033,57.64705882,0.7615,0.017033,0.00439121,17.77993383,0.00814418,37730.5,31180.13333333,39326.5,32852.11111111,-0.00512875,-0.00469,-8.04597701,0.017,46.44808743,-0.00469,-8.04597701,0.017,46.44808743,-0.00469,-8.04597701,-0.0079,-12.84552846,Canada,6185783.26782706,,OTC,0.04263386,0.04347821,Precious Metals,0.00675,32.34567901,42,Spinning Top Black,,,,,,,,,,,,,,,,,,,,21.67990919,2020-11-27,23.13492412,,0.0407049,0.04079936,0.04263435,0.03955063,0.04365457,0.0419538,0.04832482,93.1122449,11.95313748,23.86650283,0.0553,0.04908883,14135.124,51.41242938,66.97819315,-31.97969543,
ITXXF,Process Industries,339227779.328,61.9047619,,,650,0.034,0.034,0.034,0.034,61.9047619,0.013,14703232,,,,0.02616415,,0.02492323,0.02842512,,0.0365,0.01775,0.9348308,0.0365,0.0081,,0.0365,0.0081,0.0365,0.0081,,0.0365,0.0081,0.00239286,22.6912179,0.00503297,10415,10379.96666667,,,-0.005299,0.013,61.9047619,0.013,61.9047619,0.013,61.9047619,0.013,61.9047619,0.013,61.9047619,0,0,United Kingdom,,,OTC,0.02769723,,Industrial Specialties,0.009,91.54929577,,,,,,,,,,,,,,,,,,,,,,40.20618557,2020-10-28,0.05263158,,0.028925,,0.025545,,0.023755,0.0274,,38.23529412,10.48623309,21.26349206,0.034,0.0262525,22.1,13.33333333,,,2021-04-05
MMDDF,Technology Services,145661764.226828,55.55555556,,,16859,0.65,0.7,0.7,0.65,44.44444444,0.2,138967180.64595598,,-0.05671407,,0.34226786,,,0.50563881,,0.7,0.05,0.7629816,0.7,0.05,,0.7,0.05,0.7,0.05,,0.7,0.05,0.00535714,,0.06869855,4566,,,,-0.10650996,-0.05,-7.14285714,-0.05,-7.14285714,0,0,0.2,44.44444444,0,0,-0.05,-7.14285714,United Kingdom,,,OTC,0.43795974,,Packaged Software,0.45,,,Marubozu Black,,,,,,,,,,,,,,,,3.77807307,,,48.389441,116.66666667,2020-09-10,4.64422468,,0.4115,,0.317375,,,0.495,,38.46153846,1.03579483,2.71493213,0.66666667,0.37532463,10958.35,44.44444444,170.83333333,,2021-05-13
ALID,Finance,22730785.062,55,,,3731,1.23,1.24,1.24,0.8,53.75,0.43,104415684,,,16,1.18224232,,1.25383951,1.08777228,1.34370809,1.85,0.6,0.28247815,3.01,0.6,-36.59793814,4.5,0.6,4.5,0.6,,4.5,0.6,0.24545714,17.47821546,0.32089781,4850.2,3260.4,5578.21666667,7452.57777778,-0.0024,0.23,23,0.33,36.66666667,0.23,23,0.43,53.75,0.23,23,-0.01,-0.80645161,Canada,105788000,,OTC,1.10371978,1.41658255,Financial Conglomerates,-0.02,-35.26315789,70,"Dragonfly Doji, Hammer, Long Lower Shadow",,,,,,,,,,,,,,,,18.49283403,15.2569,,,-1.6,2020-07-15,0.73897285,0,1.107,1.482505,1.14065,,1.3211,1.064,1.41069,55,29.44565676,40.09057398,1.09,1.14539818,4589.13,11.81818182,-20.64516129,,
SNANF,Non-Energy Minerals,43571354.085,54.05405405,,,134871,0.92,1.14,1.14,0.85,24.32432432,0.18,55430460,,-0.04053751,,2.61400128,3.79134446,3.19616408,1.55066631,3.96531056,4,0.602,-1.9966605,8.345,0.602,-84.6469636,11.98,0.0015,11.98,0.602,-55.07593144,11.98,0.0002,0.40186786,39.33823389,0.59397547,100587.5,77950.63333333,61728.93333333,83584.05555556,-0.03499829,-0.0168,-1.79333903,-0.0168,-1.79333903,0,0,0.18,24.32432432,0,0,-0.22,-19.29824561,Canada,657096677.864875,,OTC,1.94482355,4.44127649,Other Metals/Minerals,-1.3,-84.05545927,,,,,,,,,,,,,,,,,,,,,,-59.00178253,2020-09-29,1.51505042,,2.03873,5.9234131,2.30113,3.64518268,3.49983333,1.88556,4.5452362,47.05882353,24.41093001,34.76796346,0.97,1.81338554,124081.32,-54.67980296,1111.96153339,9100,
LDSN,Technology Services,2864774.43,50,,,2060,1.5,1.5,1.5,1.5,50,0.5,42165000,16.2601626,0.0615,,,,,,,2,0.8,2.1197464,2,0.8,,2,0.8,2,0.8,,2,0.13,,,,,,,,-0.0005,0,0,0,0,0,0,0.5,50,0,0,0,0,Hong Kong,2817170,,OTC,,,Packaged Software,,,48,,,,,,,,,,,,,,,,,,1.15232,,8.9891537,,2020-11-12,,,,,,,,,,33.33333333,,,1.5,,3090,,,,
